,Close
0,950.2800289999999
1,954.7199710000001
2,948.4500119999999
3,937.090027
4,932.820007
5,924.5200199999999
6,891.4400019999999
7,889.1400150000001
8,888.840027
9,878.929993
10,858.9500119999999
11,860.080017
12,856.51001
13,853.98999
14,855.1300050000001
15,840.179993
16,841.4600220000001
17,839.8800050000001
18,841.7000119999999
19,842.099976
20,845.099976
21,848.909973
22,852.570007
23,856.75
24,847.7999880000001
25,849.4799800000001
26,849.8699949999999
27,840.6300050000001
28,838.51001
29,835.1400150000001
30,839.650024
31,849.7999880000001
32,850.1400150000001
33,867.909973
34,872.3699949999999
35,870.0
36,868.3900150000001
37,865.909973
38,864.580017
39,861.409973
40,857.840027
41,853.6400150000001
42,851.150024
43,847.2700199999999
44,849.080017
45,849.849976
46,856.75
47,844.929993
48,849.669983
49,847.8099980000001
50,851.0
51,851.3599849999999
52,849.2700199999999
53,846.5499880000001
54,842.169983
55,837.320007
56,840.0300289999999
57,838.9600220000001
58,834.849976
59,830.0599980000001
60,829.880005
61,829.22998
62,821.619995
63,820.130005
64,818.26001
65,815.23999
66,820.1900019999999
67,823.830017
68,845.0300289999999
69,856.9799800000001
70,858.4500119999999
71,849.5300289999999
72,844.429993
73,828.169983
74,824.369995
75,829.02002
76,827.460022
77,830.9400019999999
78,829.530029
79,829.8599849999999
80,826.01001
81,827.179993
82,825.210022
83,813.02002
84,807.77002
85,808.01001
86,792.450012
87,802.880005
88,804.570007
89,809.929993
90,807.799988
91,809.679993
92,812.200012
93,815.200012
94,812.5
95,809.840027
96,815.650024
97,817.8900150000001
98,815.340027
99,807.900024
100,809.450012
101,795.169983
102,791.469971
103,776.179993
104,778.219971
105,764.460022
106,764.330017
107,775.880005
108,789.4400019999999
109,785.789978
110,780.22998
111,779.0
112,785.0
113,784.799988
114,775.969971
115,786.159973
116,779.97998
117,775.159973
118,753.219971
119,771.75
120,780.289978
121,805.590027
122,811.97998
123,802.030029
124,781.099976
125,782.1900019999999
126,788.419983
127,805.47998
128,809.900024
129,819.5599980000001
130,817.349976
131,822.099976
132,828.549988
133,835.73999
134,824.0599980000001
135,821.630005
136,826.840027
137,821.48999
138,806.840027
139,804.599976
140,804.080017
141,811.77002
142,809.570007
143,814.169983
144,800.710022
145,803.080017
146,801.22998
147,802.789978
148,800.380005
149,804.0599980000001
150,802.6400150000001
151,810.0599980000001
152,810.72998
153,802.650024
154,814.960022
155,815.950012
156,805.030029
157,799.780029
158,795.3900150000001
159,797.969971
160,801.22998
161,790.460022
162,788.719971
163,798.820007
164,788.47998
165,802.840027
166,807.98999
167,808.02002
168,796.869995
169,791.400024
170,789.849976
171,791.919983
172,795.820007
173,793.219971
174,791.299988
175,793.599976
176,796.590027
177,796.950012
178,799.650024
179,802.75
180,805.419983
181,801.1900019999999
182,805.960022
183,807.049988
184,808.200012
185,808.48999
186,807.47998
187,805.22998
188,806.929993
189,797.25
190,798.919983
191,800.119995
192,800.9400019999999
193,791.340027
194,765.840027
195,761.969971
196,757.650024
197,757.52002
198,759.280029
199,754.409973
200,757.080017
201,753.409973
202,753.200012
203,735.630005
204,735.799988
205,729.47998
206,732.51001
207,727.200012
208,717.780029
209,707.26001
210,708.969971
211,704.8900150000001
212,710.25
213,703.530029
214,695.1900019999999
215,691.26001
216,681.1400150000001
217,685.200012
218,714.869995
219,710.469971
220,708.880005
221,706.130005
222,704.25
223,724.25
224,732.1900019999999
225,733.25
226,731.880005
227,733.1900019999999
228,742.52002
229,742.929993
230,731.090027
231,730.0599980000001
232,735.8599849999999
233,744.27002
234,748.460022
235,748.849976
236,747.599976
237,736.929993
